,puuid,gameList
26,co-TsemKr0WPBtj1I5PQgUhvn3_coJ5X-qu7AaoI02yTYUFgSeaxnSYT7aiQ81exR7tCe43085Qmrg,"['NA1_4290852612', 'NA1_4290806980', 'NA1_4290760259', 'NA1_4290715073', 'NA1_4290730687', 'NA1_4290637653', 'NA1_4289601415', 'NA1_4289532838', 'NA1_4289407931', 'NA1_4281718133']"
27,oEwPvJZt76H5AgxaMC6p7D283nUStXHf7NldliYyzAOxEXuptlTOG7Tio1k75-kKPJFcj_ZmZ57vjw,"['NA1_4333535028', 'NA1_4333520823', 'NA1_4330275865', 'NA1_4330232606', 'NA1_4329766037', 'NA1_4329675489', 'NA1_4329353687', 'NA1_4329380320', 'NA1_4328753518', 'NA1_4328705687']"
28,wBhjor_eMAXS5Mmnc3pJkPK-LvCxMcta7UceL3lj40jn_Sf93ZUh25wSjxNsMvgMxcEwjdVeM4jRUg,"['NA1_4334018246', 'NA1_4333984150', 'NA1_4333969705', 'NA1_4332813905', 'NA1_4332820542', 'NA1_4332756388', 'NA1_4332742712', 'NA1_4332689452', 'NA1_4332690148', 'NA1_4331759432']"
29,3VRBCjI4-I6qWcs7yEL0hlCyXuaxhDFepQsOL_jxR5ShRuUMJwquvEdvM5qdCmBeOOPVGC6YdQ2mCA,"['NA1_4207545570', 'NA1_4207465003', 'NA1_4207469737', 'NA1_4207434134', 'NA1_4207336228', 'NA1_4207361052', 'NA1_4207316223', 'NA1_4207007460', 'NA1_4206973613', 'NA1_4207000006']"
30,kE5lBvQIXBIR6r9AooA1PXogie2WxczAA0pWRqd9-9zD7bmtlaGNg1Z23WN_L2vxN-DfDim-jBfM5w,"['NA1_4226491702', 'NA1_4216978205', 'NA1_4216952864', 'NA1_4203735723', 'NA1_4203659288', 'NA1_4201936121', 'NA1_4201867976', 'NA1_4201892246', 'NA1_4200486081', 'NA1_4197823137']"
31,eQ5q7rIF8WlV7oMDUUHYfXgwlT6X-AUj08onB4WrFS2KUlXESYTt8QYkl4hF2sSZWauZGN-zzUvIqA,"['NA1_4300435104', 'NA1_4257526653', 'NA1_4257466490', 'NA1_4253676020', 'NA1_4252599332', 'NA1_4251982980', 'NA1_4251845879', 'NA1_4251737052', 'NA1_4247263716', 'NA1_4247168291']"
32,yvKmRROSdgER6NpCEdiSsROHAaO_fluIavxghkCMewHcFitb8fckS0QY2zHiTaR8VK-PXAhdvX_O2Q,"['NA1_4333528607', 'NA1_4333536041', 'NA1_4329701997', 'NA1_4329409336', 'NA1_4322277054', 'NA1_4322299998', 'NA1_4319050047', 'NA1_4254566005', 'NA1_4255702963', 'NA1_4251691665']"
33,6YWKO3ryGeDKTqVpPuUAG7ysUocOmfKFhap35tCF0n4beBC8XzGvv_GzZkBFT9dJaFZ-utQ-FdUmUA,"['NA1_4334339753', 'NA1_4334117035', 'NA1_4334103219', 'NA1_4334085969', 'NA1_4334072359', 'NA1_4333150331', 'NA1_4333145570', 'NA1_4333133415', 'NA1_4333110134', 'NA1_4333056964']"
34,hfDyXiGUgfNsqpnCkeR0L7x1cuIXw_G6FBzRpW_sr3g_WntyERLGai5KENqfVMOkSM9VFMCuS0AxKw,"['NA1_4314992520', 'NA1_4314941267', 'NA1_4314888893', 'NA1_4314319478', 'NA1_4314292005', 'NA1_4313423796', 'NA1_4313314368', 'NA1_4313299576', 'NA1_4313274190', 'NA1_4312746894']"
35,UPzljupIRCYELX7c3ihhbgDXd29YzytIHiQI3GF8Yp8N0-vUg9wxszihii96nqFo3ACO9rtvexbOag,"['NA1_4325499968', 'NA1_4325404989', 'NA1_4324057132', 'NA1_4323202159', 'NA1_4317705935', 'NA1_4315694155', 'NA1_4315637163', 'NA1_4315619189', 'NA1_4310227149', 'NA1_4310214275']"
36,ah0tCy7by-hFgn-WZK_3AQNoteaQw0oayY4p8hzLyA2Yb9V4q6BnTJDmpBKTlAmYPCNfsstHg4p9_A,"['NA1_4334368254', 'NA1_4334057075', 'NA1_4333197160', 'NA1_4332600746', 'NA1_4332546261', 'NA1_4332513796', 'NA1_4332095058', 'NA1_4331928990', 'NA1_4330887499', 'NA1_4330613615']"
37,7OyZSsHrh7BLZBT7XwwEG_yBreipOOUxbtPJz-Rwjg-Ve5R_W-HxGhhErS-iWO4Gy--fGR7oJa0Gag,"['NA1_4334376071', 'NA1_4334364560', 'NA1_4334371801', 'NA1_4334309172', 'NA1_4334306487', 'NA1_4334293833', 'NA1_4334229708', 'NA1_4334267029', 'NA1_4334215595', 'NA1_4334065976']"
38,eYH8ezvcd5hnq7_5Q1eVNEZbUWoE3fU5sFntxowNPYWbwKfoFKcvWJCW2rwecn-kpDcf7qPcXdXaZw,"['NA1_4334220019', 'NA1_4333943744', 'NA1_4332765769', 'NA1_4332080298', 'NA1_4332052302', 'NA1_4331950778', 'NA1_4331411068', 'NA1_4328905070', 'NA1_4328869891', 'NA1_4327778505']"
39,XUmNqYdX6tv1wGozbAYX8l9uSXHauZeki3KLsCEIUWsyHKb-V0y4Jy6VVcAbv1Tb7Oz5W98S3MvlXQ,"['NA1_4311481364', 'NA1_4294523694', 'NA1_4287859327', 'NA1_4287589995', 'NA1_4286748095', 'NA1_4285257106', 'NA1_4281916477', 'NA1_4280380335', 'NA1_4277446195', 'NA1_4276823533']"
40,vcSSWUuRWsYVMk9mL8YDwVEc24MdSteg0PcBflG8D1LizQfcb0FNMY_dhT9SFotYXJZPmEQMyQQYPA,"['NA1_4333409089', 'NA1_4333378142', 'NA1_4333317293', 'NA1_4332661997', 'NA1_4331455844', 'NA1_4331452993', 'NA1_4331422184', 'NA1_4331058086', 'NA1_4331063610', 'NA1_4331028718']"
41,9-8Pk11GlpcqSX_3EDvkZy266S7y_nsv6y--VvLAZqVr6NZR0jBzWEPgdC9vG7e5zORDJEVfZm2qJw,"['NA1_4334209586', 'NA1_4334184870', 'NA1_4334098369', 'NA1_4334102485', 'NA1_4334031178', 'NA1_4333976352', 'NA1_4334002823', 'NA1_4333918318', 'NA1_4333923868', 'NA1_4332926723']"
42,hfC0N5_bDiDuy3eDZ66eY65J8oSf_joF82tK1jpewr00DgkohrTFklh4eC6tP57H6BuP3SfYkfwjCA,"['NA1_4332798629', 'NA1_4332759430', 'NA1_4331954359', 'NA1_4331815681', 'NA1_4331720634', 'NA1_4331635653', 'NA1_4331581454', 'NA1_4331438870', 'NA1_4330942670', 'NA1_4330875436']"
43,ViVekh2aN2svaQJGgmv2b7xasf-WSSOnVF_M7p2LETXVtHI5jJnNwPndNch8YPzjIgMVJR_qYrNBQA,"['NA1_4234628251', 'NA1_4234625194', 'NA1_4234575388', 'NA1_4234561656', 'NA1_4232282784', 'NA1_4231665691', 'NA1_4231596822', 'NA1_4228453481', 'NA1_4227241831', 'NA1_4227102735']"
44,1UVUMYjTNqV5D8aHgNg37-L5A7VGllAhq9zXFamvMoyYEspwEQfF5e-mgFTt_SEcErnF7eEmuzMm1w,"['NA1_4333924915', 'NA1_4333940936', 'NA1_4333794063', 'NA1_4333517214', 'NA1_4333493929', 'NA1_4332571035', 'NA1_4332547357', 'NA1_4332392969', 'NA1_4332411941', 'NA1_4331683528']"
45,oGbA0vun7rPSU9itaVQHxoTzAhuxbkulCwIwh2G4_GDA_fJc0UVwqz1GUqqycLwAZbn5BSmW9FDNgA,"['NA1_4334106615', 'NA1_4334140132', 'NA1_4333985779', 'NA1_4333959533', 'NA1_4333952114', 'NA1_4333297965', 'NA1_4333285593', 'NA1_4332923464', 'NA1_4332865904', 'NA1_4332837592']"
46,g22c2OYeUcjdoZdDkAFf0dSh9I9RVE7LItxKJKiBsutpztEkpXpP3quCBtdT7LcjDklFACmuq1UX7g,"['NA1_4334378633', 'NA1_4334333099', 'NA1_4332358210', 'NA1_4332336875', 'NA1_4328352246', 'NA1_4326201285', 'NA1_4325965670', 'NA1_4325981739', 'NA1_4323637542', 'NA1_4322946192']"
47,J4iny1xD8ciC5q-XQwfhlE5ecftqbzCRrzgAPuhRVcF2QAMtnZGKJ7DP9otekiJ_M-BGNj5Aalkiww,"['NA1_4327978032', 'NA1_4325140297', 'NA1_4325059102', 'NA1_4325074770', 'NA1_4325092827', 'NA1_4320427316', 'NA1_4320390333', 'NA1_4319297948', 'NA1_4319278257', 'NA1_4319314248']"
48,Hlak-V03aqobnIp1KE25bOf2GRPl0tY6I5Hvuge0Cj6oiS408ykgoE6ukBpOfSIzC6gfRZ1QLD3avA,"['NA1_4333498481', 'NA1_4333535569', 'NA1_4333523071', 'NA1_4333303850', 'NA1_4332596943', 'NA1_4332565536', 'NA1_4332563196', 'NA1_4332529661', 'NA1_4332462571', 'NA1_4332441007']"
